Name,Type,Latitude,Longitude,CustomType
Bahnhofstrasse – Zurich's Shopping Boulevard,TouristAttraction,47.374295,8.538576,Square
Augustinergasse – One of Zurich's Most Beautiful Historical Narrow Streets,CivicStructure,47.371948,8.539881,Street
Sheep Piece – Abstract Sheep Graze at the Zürichhorn ,CivicStructure,47.358135,8.547893,ArtObject
“L’ange protecteur” by Niki de Saint Phalle,CivicStructure,47.377764,8.540615,ArtObject
“Pavillon-Skulptur” by Max Bill,CivicStructure,47.372295,8.537963,ArtObject
Stained Glass Windows by Sigmar Polke at the Grossmünster,CivicStructure,47.370147,8.543935,ArtObject
Marc Chagall’s Church Windows at the Fraumünster,CivicStructure,47.369561,8.541257,ArtObject
The Gates of Hell by Auguste Rodin,CivicStructure,47.370224,8.54798,ArtObject
Vögele Cultural Center,Museum,47.1993879,8.7921824,
“Heureka” by Jean Tinguely,CivicStructure,47.353024,8.552368,ArtObject
Giacometti Frescos (“Blüemlihalle”),CivicStructure,47.375158,8.541515,ArtObject
The Philosopher’s Egg – Mario Merz,CivicStructure,47.377764,8.540615,ArtObject
Ritterhaus Bubikon – Visiting the Knights of the Past,Museum,47.266551,8.827725,
Wasserkirche,Church,47.369856,8.543162,
St. Peter – the Oldest Parish Church in Zurich,Church,47.371200403979,8.5406255275568,
Reformierte Kirche Horgen – a Rococo-style Trademark,Church,47.259257,8.597317,
Liebfrauenkirche – Catholic Church ,Church,47.380016,8.544926,
Grossmünster – Zurich’s Famous Landmark ,Church,47.370147,8.543935,
Museum Schloss Kyburg,Museum,47.457086,8.744344,
Fraumünster Church,Church,47.369561,8.541257,
Dan Rubinstein's Stained Glass Windows – Illuminated Scenes from the Old Testament,CivicStructure,47.239583,8.727256,ArtObject
Augustinerkirche – From House of God to Coin Workshop,Church,47.371494,8.539399,
Zurich-West – From Industrial Quarter to Trendy District ,TouristAttraction,47.388599,8.518129,
Rathaus – a View of Zurich's Political Life in the Town Hall,Museum,47.371493,8.542676,
Johann Heinrich Pestalozzi Statue,TouristAttraction,47.375635,8.538851,Monument
Monument Huldrych Zwingli – Zurich’s First Reformer,TouristAttraction,47.369514,8.54326,Monument
Heinrich Bullinger Sculpture,TouristAttraction,47.370052,8.543654,Monument
Hans Waldmann – a Military Leader and Mayor of Zurich in the Late Middle Ages,TouristAttraction,47.369899,8.542062,Monument
Gottfried Keller Statue,TouristAttraction,47.358868,8.536965,Monument
National Museum Zurich,Museum,47.378914,8.540993,
Ganymed – the Prominent Sculpture by Lake Zurich,CivicStructure,47.36666,8.541522,ArtObject
Rapperswil-Jona Cultural Stations – A Tour of a Shared History,Museum,47.225127,8.815444,
Alfred Escher Statue,TouristAttraction,47.3771287,8.5399549,Monument
Waid Vantage Point,TouristAttraction,47.3996128,8.5144127,Viewpoint
Uetliberg – Zurich’s Very Own Mountain,TouristAttraction,47.349798,8.491109,Viewpoint
Urania-Sternwarte – That Bit Closer to Heaven  ,TouristAttraction,47.374238,8.539406,
Lindenhof – From Roman Fort to Green Vantage Point Over Zurich,TouristAttraction,47.372996,8.540799,Viewpoint
Karlsturm Grossmünster,TouristAttraction,47.370052,8.543654,Viewpoint
"Felsenegg – Time Out at 2,624-feet Altitude ",TouristAttraction,47.310169,8.507407,Viewpoint
"Polyterrasse, Federal Institute of Technology and Zurich University ",TouristAttraction,47.376524,8.546281,Viewpoint
Bürkliterrasse – Zurich's Front Row Seat by the Lake ,TouristAttraction,47.3661525,8.5415251,Viewpoint
